Date,Open,High,Low,Close,Volume,bais_self,bais_oil,bais_CVX
2006/3/2,74.14,74.62,73.81,74.34,2247700,-0.067213335,0.021770682,-0.401816911
2006/3/3,74.35,75.5,74.11,74.61,3397300,0.363196126,0.003945707,-0.070163129
2006/3/6,74.63,74.88,72.5,73.22,5497000,-1.863021043,-0.018078918,-1.96594699
2006/3/7,73.01,74.02,72.21,73.04,4904800,-0.245834471,-0.015209734,-0.948970457
2006/3/8,73.04,73.05,70.34,72.4,7726100,-0.876232202,-0.023573403,-0.361532899
2006/3/9,72.43,72.52,71.25,71.4,5101600,-1.38121547,0.007492507,-1.215529753
2006/3/10,71.35,72.01,70.38,70.95,5996900,-0.630252101,-0.009915716,-0.679522498
2006/3/13,71.45,71.75,70.79,71,3401500,0.070472163,0.031714238,2.034023669
2006/3/14,71,72.28,71,71.94,4048600,1.323943662,0.019414334,2.120333454
2006/3/15,72.11,74.7,71.94,74.29,5212600,3.266611065,-0.014283447,0.266193434
2006/3/16,74.93,75.39,74.38,74.9,5802800,0.821106475,0.02173563,2.194690265
2006/3/17,75.58,76.35,74.45,76.23,7015600,1.775700935,-0.010242673,-0.969864912
2006/3/20,76.88,77.11,75.63,75.85,4217900,-0.498491408,-0.039802579,-0.752011193
2006/3/21,75.9,76.27,74.19,74.31,4594400,-2.030323006,0.0016581,-0.317180617
2006/3/22,73.7,76.45,74.38,76.21,3636000,2.556856412,-0.006290349,-0.141417713
2006/3/23,76.4,77.21,75.75,76.26,4874800,0.065608188,0.034982509,0.247831475
2006/3/24,76.26,76.66,75.17,75.5,4321200,-0.996590611,0.028488653,1.659897581
2006/3/27,75.88,76.16,75.03,75.38,2579100,-0.158940397,-0.002347418,1.111690116
2006/3/28,75.55,76.23,74.71,74.87,3726800,-0.676572035,0.029803922,-0.601271259
2006/3/29,73.25,73.98,72.55,73.67,6588100,-1.602778149,0.005331302,1.330798479
2006/3/30,73.65,74.35,72.16,72.4,5283600,-1.723903896,0.010606061,-0.204673375
2006/3/31,72.4,72.46,71.3,71.81,4316800,-0.814917127,-0.006746627,-0.922919159
2006/4/3,72.71,75.48,72.56,73.5,5885200,2.35343267,-0.002716981,0.63826117
2006/4/4,74.1,75.52,73.49,75.3,4606100,2.448979592,-0.004843348,0.977031196
2006/4/5,75.5,76.15,74.6,75.8,4758400,0.664010624,0.015361217,1.001527754
