Date,Open,High,Low,Close,Volume,bais_self,bais_oil
2006/1/3,57.87,58.11,57.05,57.8,3697500,0,0
2006/1/4,57.95,59.43,57.55,59.27,4577200,2.543252595,0.004753605
2006/1/5,59.02,59.86,59,59.27,4590700,0,-0.00946223
2006/1/6,59.47,60.76,59.38,60.45,5692300,1.990889151,0.022289444
2006/1/9,60.45,61.68,60.45,61.55,4409300,1.819685691,-0.010123034
2006/1/10,61.35,61.52,60.64,61.3,3188100,-0.406173842,-0.002359975
2006/1/11,60.87,61.64,60.7,61.33,2755600,0.048939641,0.007885192
2006/1/12,61.23,62.66,61.11,62.21,5322500,1.43486059,0.00078235
2006/1/13,62.02,62.49,61.87,62.33,1936700,0.192895033,-0.001563477
2006/1/17,61.69,63.15,61.65,62.96,3623300,1.010749238,0.039148137
2006/1/18,62.36,62.72,61.7,62.33,3656100,-1.000635324,-0.009041591
2006/1/19,62.05,63,61.9,62.51,2375600,0.288785497,0.016727494
2006/1/20,62.51,62.51,60.48,60.78,4441300,-2.767557191,0.019443614
2006/1/23,60.75,61.44,60.26,61.04,2710500,0.427772294,-0.001467136
2006/1/24,60.79,61.86,60.75,61.35,3291600,0.507863696,-0.018072289
2006/1/25,61.5,63.25,61.11,62.07,4772400,1.173594132,-0.018404908
2006/1/26,63.3,65.44,62.3,65.17,10318100,4.994361205,0.00304878
2006/1/27,65.9,68.37,65.15,67.53,7588000,3.621298143,0.030547112
2006/1/30,66.53,68.12,66.32,67.01,5077400,-0.770028136,0.008110898
2006/1/31,67,68.17,66.64,67.9,5674400,1.328159976,-0.007314219
2006/2/1,68.1,69.34,67.9,69.24,4826100,1.973490427,-0.018420277
2006/2/2,68.75,69.1,67.99,68.39,4605500,-1.227614096,-0.028524246
2006/2/3,68.2,68.97,67.75,68.13,3529800,-0.38017254,0.010817493
2006/2/6,68.5,68.82,68,68.7,3745900,0.836635843,-0.004586455
2006/2/7,68.3,68.34,66.93,67.16,4909100,-2.241630277,-0.03225311
2006/2/8,67.75,68.89,67.36,68.81,3569100,2.456819535,-0.007935248
2006/2/9,69,69.75,68.23,68.45,4017700,-0.52317977,0.002399616
2006/2/10,68.15,68.87,67.78,68.75,3167900,0.438276114,-0.010373444
